UNITNAME,code,colour
CPg\g-7964,CPg\g,#3842d1
CPg\h-SE55,CPg\h,#d94a62
CPg\l-SE55,CPg\l,#b54190
CPg\m-SE55,CPg\m,#d12e72
CPg\q-7964,CPg\q,#ed4ac7
CPgaa-NCON,CPgaa,#bf3242
CPgr/1-Kennedy Province,geophysics,#ff7370
CPgr/2-Kennedy Province,geophysics,#ff3847
CPi-Kennedy Province,geophysics,#ffc417
CPi-SD54,CPi,#c9f7fc
CPi/1-Kennedy Province,geophysics,#6b8c94
CPia-7963,CPo,#6940ff
CPia-Kennedy Province,CPia,#8a6bff
CPia-SD54-12,CPia,#572bff
CPia?-Kennedy Province,CPia?,#ff45ab
CPid-Kennedy Province,CPda,#eb008a
CPir-Kennedy Province,CPir,#ffb819
CPir/x-Kennedy Province,CPir/x,#ffdb73
CPir?-Kennedy Province,CPir?,#ffb819
CPmg-7864,CPmg,#a80084
CPmg-Kennedy Province,CPmg,#ff8c99
CPmg?-Kennedy Province,CPmg?,#ff8c99
CPr/2-7763,CPr/2,#ffc92e
CPrx-SD55-02,CPrx,#ed5192
CPs?-7862,CPs?,#a80000
CPsv-SD54,CPsv,#cce0fc
CPv-Kennedy Province,geophysics,#547080
CPv-SF5501,CPv,#848ca1
CPv/1-SD54,CPv/1,#ffeb69
CPv/2-SD54,CPv/2,#ffeb69
CPy-7962,CPy,#ffb3b3
Calcifer Granite/1,Cgoca/1,#a80000
Calcifer Granite/2,Cgoca/2,#ff7f7f
California Granite,Cgol,#ffbee8
Calvert Superbasin undivided,PLc,#d94c00
Camel Creek Granite,PLgcm,#ffb3bf
Camp Oven Dacite/1,Pvyo/1,#bfebeb
Camp Oven Dacite/1?,Pvyo/1?,#bfebeb
Camp Oven Dacite/a,Pvyo/a,#b3dede
Camp Oven Dacite/r,Pvyo/r,#80abab
Camp Oven Dacite/ri,Pvyo/ri,#99c4c4
Camp Oven Mountain Complex/a,CPtc/a,#ffe0cc
Camp Oven Mountain Complex/d,CPtc/d,#ffb380
Camp Oven Mountain Complex/dp,CPtc/dp,#ffd1b3
Camp Oven Mountain Complex/rp,CPtc/rp,#ffc92e
Camp Oven Mountain Complex/si,CPtc/si,#ff8533
Campbell Mountain Granite/g,Pgkc/g,#ffbfff
Campbell Mountain Granite/gd,Pgkc/gd,#ff73df
Campbell Mountain Granite/hb,Pgkc/hb,#ffa6ff
Campbell Mountain Granite/mg,Pgkc/mg,#ff8cf7
Campbell Mountain Granite/mz,Pgkc/mz,#ff59c4
Campbell Mountain Granite/p,Pgkc/p,#ff40ab
Campfellow Granite,Ogcf,#ffb3c9
Campsbourne Granodiorite,Cgac,#f57ab6
Candlow Formation/1,PLcf/1,#ada68c
Candlow Formation/1?,PLcf/1?,#ada68c
Candlow Formation/2,PLcf/2,#e0d9bf
Candlow Formation/2?,PLcf/2?,#e0d9bf
