X,Y,Z,azimuth,dip,polarity,formation,source
536415.330553395,7500750.624815321,552.5381221982756,339.0082116182309,8.67392502904363,1,Marra_Mamba_Iron_Formation,contact_orientations
534174.0486844601,7500842.10945048,564.3680975343573,348.41054031362125,8.489372501873262,1,Marra_Mamba_Iron_Formation,contact_orientations
532914.72084519,7500807.84054613,544.4502119122864,345.63593476483766,20.87554889095685,1,Marra_Mamba_Iron_Formation,contact_orientations
530046.07056385,7500712.070066385,544.85891675876,5.375259767189505,34.56448838519265,1,Marra_Mamba_Iron_Formation,contact_orientations
528333.10566227,7500231.298788855,540.6697026949407,359.92212625013804,34.3371530396839,1,Marra_Mamba_Iron_Formation,contact_orientations
525226.69417828,7500257.270639935,541.4553029537788,356.92904842780626,46.08377179013858,1,Marra_Mamba_Iron_Formation,contact_orientations
522753.4392022145,7511524.741181008,575.2268535213456,169.68165143759165,8.279046810594963,1,Wittenoom_Formation,contact_orientations
524382.10526163,7512859.8050474655,601.2457892528787,134.90140354818266,14.01808418323276,1,Wittenoom_Formation,contact_orientations
549743.9349162751,7514715.62982356,657.6914224760608,331.1449204522384,11.107462954895963,1,Wittenoom_Formation,contact_orientations
547667.74981599,7513803.384793075,633.0383758061948,316.5502039492826,1.3525742897190725,1,Wittenoom_Formation,contact_orientations
546594.0225536865,7512639.094144653,625.2459225038111,318.2409938842777,7.66464050294222,1,Wittenoom_Formation,contact_orientations
546142.3050284719,7511475.448798,644.9679830725397,309.57940905351984,11.528103309180937,1,Wittenoom_Formation,contact_orientations
544612.93589632,7509584.901067845,656.7726020398629,287.96462716789324,16.903760458200452,1,Wittenoom_Formation,contact_orientations
542973.0508623801,7505947.900204595,608.7111228979061,296.57110058958835,6.063284539391958,1,Wittenoom_Formation,contact_orientations
538847.11507524,7502946.14045357,599.4856536496603,347.64922202829905,26.848342309976893,1,Wittenoom_Formation,contact_orientations
536744.46483449,7502774.13523691,579.0731834142323,260.19946567039835,19.911979257291165,1,Wittenoom_Formation,contact_orientations
535580.674119645,7501253.36988894,548.7157286373106,11.11970159633222,7.991967484147239,1,Wittenoom_Formation,contact_orientations
531722.88481723,7501090.09151187,573.1902660846276,0.2171679302650773,27.533848124727925,1,Wittenoom_Formation,contact_orientations
